"truth_kernel","rep","parameter","truth","mean","q025","median","q975","error","squared_error","ci_width","covered"
"ou",27,"mu",0.074,0.0819684317502306,0.0730338088262276,0.0818506563904844,0.0915172845622985,0.00785065639048443,6.16328057614541e-05,0.0184834757360709,TRUE
"ou",27,"K",0.524180588111021,0.496895759671805,0.396134399550238,0.493693939672242,0.615265416733442,-0.0304866484387795,0.000929435733029738,0.219131017183204,TRUE
"ou",27,"alpha",1.89,1.90568037823469,1.87443748985095,1.90560990868143,1.93712787104098,0.015609908681429,0.000243669249042552,0.0626903811900232,TRUE
"ou",27,"c",0.03,0.0301600644754512,0.0227612417576214,0.0299232228817052,0.0388604642322867,-7.67771182947595e-05,5.89472589364749e-09,0.0160992224746653,TRUE
"ou",27,"p",1.17,1.16851594339512,1.14537388853636,1.16821280336967,1.19323743216875,-0.00178719663033311,3.19407179547402e-06,0.0478635436323969,TRUE
"ou",28,"mu",0.074,0.0824594455500202,0.0734935592335249,0.0823415886652262,0.0920398291789116,0.00834158866522623,6.95821014598308e-05,0.0185462699453867,TRUE
"ou",28,"K",0.524180588111021,0.573744930949199,0.452194914029894,0.569682739762176,0.717676780229869,0.0455021516511549,0.0020704458048847,0.265481866199975,TRUE
"ou",28,"alpha",1.89,1.86292775891882,1.83064669271455,1.86285216587494,1.89543606580308,-0.0271478341250573,0.000737004897681625,0.0647893730885338,TRUE
"ou",28,"c",0.03,0.0297380918264503,0.0220084329619912,0.0294731425742909,0.0389272507589228,-0.000526857425709144,2.77578747024866e-07,0.0169188177969316,TRUE
"ou",28,"p",1.17,1.1678260013754,1.14279801346424,1.1674690411547,1.19472764082633,-0.00253095884530019,6.40575267660328e-06,0.0519296273620948,TRUE
"ou",29,"mu",0.074,0.0697359063194244,0.0615188824475568,0.0696177484133865,0.0785738518859341,-0.00438225158661354,1.92041289683769e-05,0.0170549694383773,TRUE
"ou",29,"K",0.524180588111021,0.592338903565054,0.479092796556438,0.588974047760185,0.724041307669083,0.0647934596491642,0.00419819241330786,0.244948511112645,TRUE
"ou",29,"alpha",1.89,1.876601338481,1.84782197435741,1.87653907610698,1.90555408348576,-0.0134609238930208,0.000181196472053698,0.0577321091283511,TRUE
"ou",29,"c",0.03,0.0285706940190722,0.021939355518413,0.0283707606579675,0.0362983771092547,-0.00162923934203252,2.65442083362656e-06,0.0143590215908417,TRUE
"ou",29,"p",1.17,1.17579184220666,1.15369969316667,1.17553092924973,1.19922984267587,0.00553092924973164,3.0591178365537e-05,0.0455301495092029,TRUE
"ou",30,"mu",0.074,0.0901029532708319,0.0807183293550464,0.0899853403585657,0.100098052165243,0.0159853403585657,0.000255531106379189,0.0193797228101964,FALSE
"ou",30,"K",0.524180588111021,0.407461602642083,0.350176706601429,0.406248632143235,0.471293289923698,-0.117931955967786,0.0139079462383879,0.121116583322268,FALSE
"ou",30,"alpha",1.89,1.94018566617486,1.91729470296569,1.94014340002573,1.96317322006942,0.0501434000257313,0.00251436056614051,0.0458785171037341,FALSE
"ou",30,"c",0.03,0.0363011955426911,0.0302502089593886,0.0361768886660812,0.0430216727995995,0.00617688866608124,3.81539535931629e-05,0.0127714638402109,FALSE
"ou",30,"p",1.17,1.19767858453854,1.1801391563547,1.19753714061301,1.21591277899156,0.027537140613006,0.000758294113140467,0.0357736226368577,FALSE
"ou",31,"mu",0.074,0.0785648664608743,0.0698261633726409,0.0784470455256113,0.0879192912031945,0.00444704552561133,1.97762139068597e-05,0.0180931278305536,TRUE
"ou",31,"K",0.524180588111021,0.493314666698882,0.414403044755701,0.491392561500692,0.582676592503045,-0.0327880266103289,0.00107505468899964,0.168273547747343,TRUE
"ou",31,"alpha",1.89,1.86998275527072,1.84511584185947,1.86993344729582,1.89497391639138,-0.0200665527041795,0.000402666537429612,0.0498580745319062,TRUE
"ou",31,"c",0.03,0.0347873611349342,0.0279793734080618,0.0346202899289877,0.0425034755628103,0.00462028992898771,2.13470790279053e-05,0.0145241021547485,TRUE
