"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","status","error","file"
"ou","mse",89,1089,1000266,3465,5.39275213479996,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,35,0.00601729132819095,FALSE,"fitted",NA,"rep_0089_fit_mse.rds"
"ou","rate_state",89,1089,1000267,3465,6.19022046724955,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,46,0.00612019399773298,FALSE,"fitted",NA,"rep_0089_fit_rate_state.rds"
"ou","ou",90,1090,1000268,3980,2.71121496359507,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,31,0.00581137842247821,FALSE,"fitted",NA,"rep_0090_fit_ou.rds"
"ou","mse",90,1090,1000269,3980,26.3397515336672,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,97,0.00581951943306287,FALSE,"fitted",NA,"rep_0090_fit_mse.rds"
"ou","rate_state",90,1090,1000270,3980,7.46751834948858,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,79,0.00594376638422454,FALSE,"fitted",NA,"rep_0090_fit_rate_state.rds"
"ou","ou",91,1091,1000271,2338,1.78669265111287,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,24,0.0075886751954417,FALSE,"fitted",NA,"rep_0091_fit_ou.rds"
"ou","mse",91,1091,1000272,2338,4.00033288399378,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,44,0.00760261853733898,FALSE,"fitted",NA,"rep_0091_fit_mse.rds"
"ou","rate_state",91,1091,1000273,2338,1.63918940226237,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,20,0.00775772120629414,FALSE,"fitted",NA,"rep_0091_fit_rate_state.rds"
"ou","ou",92,1092,1000274,2534,2.11772263050079,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,26,0.00740608556850369,FALSE,"fitted",NA,"rep_0092_fit_ou.rds"
"ou","mse",92,1092,1000275,2534,4.56326189835866,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,45,0.00743817050807011,FALSE,"fitted",NA,"rep_0092_fit_mse.rds"
"ou","rate_state",92,1092,1000276,2534,2.16621841986974,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,24,0.00753306434692695,FALSE,"fitted",NA,"rep_0092_fit_rate_state.rds"
"ou","ou",93,1093,1000277,1655,1.31212403376897,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,23,0.00869400817751927,FALSE,"fitted",NA,"rep_0093_fit_ou.rds"
"ou","mse",93,1093,1000278,1655,2.72047751744588,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,41,0.00869925689196055,FALSE,"fitted",NA,"rep_0093_fit_mse.rds"
"ou","rate_state",93,1093,1000279,1655,1.21882350047429,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,20,0.00881957158985404,FALSE,"fitted",NA,"rep_0093_fit_rate_state.rds"
"ou","ou",94,1094,1000280,3278,3.39401936928431,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,32,0.00643981953787517,FALSE,"fitted",NA,"rep_0094_fit_ou.rds"
"ou","mse",94,1094,1000281,3278,6.79169111649195,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,47,0.00644925477693093,FALSE,"fitted",NA,"rep_0094_fit_mse.rds"
"ou","rate_state",94,1094,1000282,3278,8.4909789164861,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,69,0.00655109180137346,FALSE,"fitted",NA,"rep_0094_fit_rate_state.rds"
"ou","ou",95,1095,1000283,1784,1.25959456364314,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,20,0.00899563711967922,FALSE,"fitted",NA,"rep_0095_fit_ou.rds"
"ou","mse",95,1095,1000284,1784,2.1518256187439,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,31,0.00903577177996649,FALSE,"fitted",NA,"rep_0095_fit_mse.rds"
"ou","rate_state",95,1095,1000285,1784,2.15944763024648,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,36,0.00910871451171716,FALSE,"fitted",NA,"rep_0095_fit_rate_state.rds"
