"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","status","error","file"
"mse","rate_state",93,2093,1000579,3300,10.3487818479538,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00697460735423134,FALSE,"fitted",NA,"rep_0093_fit_rate_state.rds"
"mse","rate_state",94,2094,1000582,6228,27.4277477145195,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,9.00648739406578e-60,TRUE,"fitted",NA,"rep_0094_fit_rate_state.rds"
"mse","rate_state",95,2095,1000585,1999,6.49894828399022,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0135143489695869,FALSE,"fitted",NA,"rep_0095_fit_rate_state.rds"
"mse","rate_state",96,2096,1000588,2581,8.24981733560562,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00711661814067214,FALSE,"fitted",NA,"rep_0096_fit_rate_state.rds"
"mse","rate_state",97,2097,1000591,1966,6.04818853537242,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00943945515860355,FALSE,"fitted",NA,"rep_0097_fit_rate_state.rds"
"mse","rate_state",98,2098,1000594,1714,5.3086181640625,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,3.2119581607848e-08,TRUE,"fitted",NA,"rep_0098_fit_rate_state.rds"
"mse","rate_state",99,2099,1000597,4517,16.1391505360603,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00733845413786807,FALSE,"fitted",NA,"rep_0099_fit_rate_state.rds"
"mse","rate_state",100,2100,1000600,3438,11.357508567969,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0111199489207121,FALSE,"fitted",NA,"rep_0100_fit_rate_state.rds"
"rate_state","mse",1,3001,1000602,1885,5.91758563518524,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00814121519356028,FALSE,"fitted",NA,"rep_0001_fit_mse.rds"
"rate_state","mse",2,3002,1000605,3876,15.0198120514552,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00591888333541707,FALSE,"fitted",NA,"rep_0002_fit_mse.rds"
"rate_state","mse",5,3005,1000614,1873,6.22930635213852,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00816169594619252,FALSE,"fitted",NA,"rep_0005_fit_mse.rds"
"rate_state","mse",12,3012,1000635,6183,31.0021987001101,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00480242316896621,FALSE,"fitted",NA,"rep_0012_fit_mse.rds"
"rate_state","mse",15,3015,1000644,3644,13.9329291820526,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00590119987021724,FALSE,"fitted",NA,"rep_0015_fit_mse.rds"
"rate_state","mse",20,3020,1000659,6538,36.5942798654238,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00454893688794728,FALSE,"fitted",NA,"rep_0020_fit_mse.rds"
"rate_state","mse",24,3024,1000671,3595,14.3505638798078,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00598824705912832,FALSE,"fitted",NA,"rep_0024_fit_mse.rds"
"rate_state","mse",32,3032,1000695,2233,7.88662113348643,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00786987170990129,FALSE,"fitted",NA,"rep_0032_fit_mse.rds"
"rate_state","mse",39,3039,1000716,3766,15.4598253170649,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00574691475195642,FALSE,"fitted",NA,"rep_0039_fit_mse.rds"
"rate_state","mse",43,3043,1000728,2321,8.34281423091888,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00761930026296527,FALSE,"fitted",NA,"rep_0043_fit_mse.rds"
"rate_state","mse",46,3046,1000737,1859,6.56106811761856,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00815222546898814,FALSE,"fitted",NA,"rep_0046_fit_mse.rds"
"rate_state","mse",52,3052,1000755,4576,19.0355437835058,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00526309402482204,FALSE,"fitted",NA,"rep_0052_fit_mse.rds"
"rate_state","mse",64,3064,1000791,4842,22.2203019301097,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00540682365894731,FALSE,"fitted",NA,"rep_0064_fit_mse.rds"
"rate_state","mse",67,3067,1000800,3790,15.7497753341993,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00595667716156077,FALSE,"fitted",NA,"rep_0067_fit_mse.rds"
