"truth_form","rep","n_fit","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","degenerate","usable","min_sd","B","one_minus_B","ta","fit_result"
"MSE truth",14,4783,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00794365782772907,0.999995580508782,4.41949121798846e-06,36.2964186102857,"Non-usable"
"MSE truth",15,4697,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00731431468433204,0.999782481075822,0.000217518924178095,130.663776221369,"Non-usable"
"MSE truth",16,6400,"inla_failure",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2.67023840299156e-45,0.999999999990353,9.64739399478276e-12,175.625393910667,"Degenerate"
"MSE truth",17,3723,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0111418205917957,0.999872725531525,0.000127274468474714,9.96610903134616,"Non-usable"
"MSE truth",18,3558,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0112199683573778,0.999774423402766,0.000225576597233768,8.05994683886601,"Non-usable"
"MSE truth",19,2451,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1.36175152317609e-72,0.999447221363076,0.000552778636923601,200,"Degenerate"
"MSE truth",20,2475,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.007595214834791,0.99984155216798,0.000158447832020014,62.2387135134358,"Non-usable"
"MSE truth",21,1965,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0089755352405334,0.999940038650343,5.99613496566898e-05,106.663257344229,"Non-usable"
"MSE truth",22,2014,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,7.32330312863202e-73,0.999999999962114,3.78861386707285e-11,182.530025064412,"Degenerate"
"MSE truth",23,4581,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3.53626657587798e-08,0.999999999963455,3.65452113015863e-11,158.057889797745,"Degenerate"
"MSE truth",24,2254,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0112141411477927,0.999773001563291,0.000226998436708592,49.5359127162778,"Non-usable"
"MSE truth",25,3648,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00855149140692912,0.99999487074255,5.12925745055348e-06,37.3915857796423,"Non-usable"
"MSE truth",26,1941,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0119176484506634,0.999940782179923,5.92178200768956e-05,364.802663466754,"Non-usable"
"MSE truth",27,2924,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00927075673735383,0.999993311523854,6.68847614559986e-06,59.2077332002863,"Non-usable"
"MSE truth",28,4966,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00702278458045188,0.999989438768084,1.05612319158954e-05,67.9888425964207,"Non-usable"
"MSE truth",29,2170,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00868663580718076,0.999954522857822,4.54771421783962e-05,113.607823455393,"Non-usable"
"MSE truth",30,2244,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00822545984746385,0.999891397653272,0.000108602346728159,455.337768126397,"Non-usable"
"MSE truth",31,2138,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00882783542408264,0.999967998168981,3.2001831018813e-05,128.411696503876,"Non-usable"
"MSE truth",32,5416,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00591154264287428,0.999841214323363,0.000158785676636519,47.6083358861832,"Non-usable"
"MSE truth",33,5324,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0088927850940459,0.367591678704058,0.632408321295942,1.00730800088392,"Non-usable"
"MSE truth",34,5001,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00590403501039268,0.999831645163037,0.000168354836963314,39.3869802109915,"Non-usable"
"MSE truth",35,2426,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0116547866076576,0.999913818217327,8.6181782673167e-05,340.057892582969,"Non-usable"
"MSE truth",36,2306,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00781546658685106,0.999846060070677,0.000153939929322888,52.3731312535944,"Non-usable"
"MSE truth",37,4221,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00758474467967949,0.999769955195885,0.000230044804115481,133.644497140276,"Non-usable"
"MSE truth",38,3508,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3.02468916736675e-40,0.999999999963153,3.68471919642843e-11,176.017028077644,"Degenerate"
"MSE truth",39,3245,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0113369512381564,0.999835427677742,0.000164572322258416,10.4833522433463,"Non-usable"
"MSE truth",40,6945,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,6.93347216955895e-40,0.999447221363076,0.000552778636923601,200,"Degenerate"
"MSE truth",41,5230,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00950037323541087,0.999987531167865,1.24688321349042e-05,21.4469889873885,"Non-usable"
"MSE truth",42,6755,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00502054291010575,0.999786508887792,0.000213491112208475,36.5852522501949,"Non-usable"
"MSE truth",43,2470,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00735183748784136,0.999743021599858,0.00025697840014216,38.8560541853205,"Non-usable"
"MSE truth",44,2931,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00830886863861426,0.999804779896349,0.000195220103651361,128.464738503771,"Non-usable"
"MSE truth",45,4450,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00810619781131922,0.1114146487209,0.8885853512791,0.74929637240862,"Non-usable"
"MSE truth",46,2715,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00727557927846491,0.999873038610507,0.00012696138949253,51.5189646094153,"Non-usable"
"MSE truth",47,3261,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00753729290788567,0.999997820185077,2.17981492312003e-06,59.0000726543671,"Non-usable"
"MSE truth",48,1817,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.014768136600923,0.999651051309992,0.000348948690007789,4.99350044686369,"Non-usable"
