"truth_kernel","fitted_kernel","rep","posterior_mean_tv","posterior_q025_tv","posterior_q10_tv","posterior_median_tv","posterior_q90_tv","posterior_q975_tv","posterior_iqr_tv"
"mse","mse",90,0.0242360509732319,0.00875030541854525,0.0131084398622342,0.0245892773481685,0.0347589864752853,0.0403668465862687,0.0112946513683266
"mse","mse",91,0.0184252601628155,0.00768719080126358,0.0109035113781675,0.0181528512989929,0.0265049151251504,0.0306436723800431,0.00814454145214903
"mse","mse",92,0.0183563533627036,0.00829937811002632,0.0114170655330976,0.0183272786618325,0.025232405106321,0.0293381691590322,0.00727856606139604
"mse","mse",93,0.0155752196079933,0.00449148193076911,0.00743402394356373,0.0152041634331959,0.0239831248140561,0.0291761192955471,0.00927253030454585
"mse","mse",94,0.0137105893945238,0.00560246627145239,0.00816760042292842,0.0135036267357004,0.0197944671885013,0.0234276124897424,0.00632460311620106
"mse","mse",95,0.0268174636330385,0.00777454156888457,0.013699795961579,0.0264371493826895,0.0401430033296435,0.0477386137433002,0.0141256889489017
"mse","mse",96,0.0256062009773771,0.013515671061159,0.0172792356831594,0.0245564071008313,0.0354596575344944,0.0432106843769743,0.0100917295700364
"mse","mse",97,0.0192892971769652,0.00568787406720791,0.00912284072603609,0.0187520420403339,0.0298349111035375,0.0363612712203804,0.0107314609245047
"mse","mse",98,0.0342092899641662,0.0129331541942268,0.0197394678290757,0.0332942808721979,0.0498739915609603,0.0587236498192064,0.0152244918747077
"mse","mse",99,0.0114859330745438,0.00315771302052214,0.00487649535643874,0.0106357884657349,0.0191660754209349,0.0253687596119433,0.00724010014321917
"mse","mse",100,0.0175674384520877,0.00498118965054175,0.00857227379039915,0.0170072643250006,0.0269675173000045,0.0331985838591849,0.00986241407537764
"mse","ou",1,0.070240983452684,0.0656359071274846,0.0669042471779809,0.0701646041948807,0.0737004833096422,0.0758495904797048,0.00354772752574356
"mse","ou",2,0.0754263067191434,0.0696888187197457,0.0719083543027553,0.0753606560770023,0.0791726949111168,0.081211758582169,0.00395688387653012
"mse","ou",3,0.0640096236183448,0.0625908587685933,0.0627482371255674,0.0636631774840851,0.0656765266404238,0.0672116691983121,0.00155083406855934
"mse","ou",4,0.0703175377589192,0.0645552883417699,0.0661008705567399,0.0696979875553995,0.0754015727568915,0.0790831558714913,0.00499440074626716
