"truth_kernel","fitted_kernel","rep","tv_wrong","tv_correct","delta_tv"
"mse","ou",33,0.0717103043994285,0.0221154696990284,0.0495948347004001
"mse","ou",34,0.0676883588555302,0.0270446824158785,0.0406436764396517
"mse","ou",35,0.0756658649583315,0.020129216927656,0.0555366480306755
"mse","ou",36,0.0731005701615221,0.00918858409408094,0.0639119860674412
"mse","ou",37,0.0658038860627748,0.0211600089394876,0.0446438771232872
"mse","ou",38,0.0655930163976109,0.02301164933633,0.0425813670612809
"mse","ou",39,0.0775916896968451,0.0183414796239674,0.0592502100728777
"mse","ou",40,0.0675229594681919,0.0100512160370305,0.0574717434311614
"mse","ou",41,0.0668053726663345,0.0203368156360917,0.0464685570302428
"mse","ou",42,0.0698282494983209,0.0158787707556822,0.0539494787426387
"mse","ou",43,0.0661306923608143,0.00733974534818729,0.058790947012627
"mse","ou",44,0.0668114729684127,0.0103688350113173,0.0564426379570954
"mse","ou",45,0.064081850567104,0.0151069292373466,0.0489749213297574
"mse","ou",46,0.0796518558209403,0.0111211032966038,0.0685307525243365
"mse","ou",47,0.0636438109758833,0.0133562301767347,0.0502875807991486
"mse","ou",48,0.0778656955153269,0.0302600461738982,0.0476056493414287
"mse","ou",49,0.0732566251890901,0.0103982886480325,0.0628583365410576
"mse","ou",50,0.0670355212745667,0.00477265685013773,0.0622628644244289
"mse","ou",51,0.0836390215373945,0.00773764509868404,0.0759013764387104
"mse","ou",52,0.0773716397244023,0.010621941932461,0.0667496977919413
"mse","ou",53,0.067779427022181,0.0239605743576468,0.0438188526645342
"mse","ou",54,0.0652669516628058,0.0228162375748458,0.04245071408796
"mse","ou",55,0.0636267695813376,0.0243022917780001,0.0393244778033375
"mse","ou",56,0.0644972778169067,0.0108615137572656,0.0536357640596411
"mse","ou",57,0.0636061076070666,0.0168274450163642,0.0467786625907024
"mse","ou",58,0.0716024987822983,0.0109655349620389,0.0606369638202594
"mse","ou",59,0.0635699034467647,0.024384851035073,0.0391850524116917
"mse","ou",60,0.0680532814025678,0.0155516155777306,0.0525016658248372
"mse","ou",61,0.0664731549733131,0.0201130371489342,0.0463601178243789
"mse","ou",62,0.0626751171708018,0.0245970785125275,0.0380780386582743
"mse","ou",63,0.0649545663352781,0.0253251224556969,0.0396294438795812
"mse","ou",64,0.0705733416717199,0.0172483208043454,0.0533250208673745
"mse","ou",65,0.0641593100890397,0.01837259796992,0.0457867121191197
"mse","ou",66,0.0717279971389632,0.0155829435188281,0.0561450536201351
"mse","ou",67,0.0664333794650643,0.0228387735983275,0.0435946058667368
"mse","ou",68,0.06610333211257,0.0139932838004467,0.0521100483121233
"mse","ou",69,0.06964546728211,0.00834372566903541,0.0613017416130745
"mse","ou",70,0.0727254928105085,0.024410906805802,0.0483145860047065
"mse","ou",71,0.0674007023526982,0.0204590780042841,0.0469416243484141
"mse","ou",72,0.0631252581213106,0.0265223092241965,0.0366029488971141
"mse","ou",73,0.0684764004398898,0.0205423405633013,0.0479340598765885
"mse","ou",74,0.0765851473660814,0.0295115558562186,0.0470735915098628
"mse","ou",75,0.0731867393644994,0.0112388772797588,0.0619478620847406
"mse","ou",76,0.082101128491807,0.0275004121913162,0.0546007163004908
"mse","ou",77,0.0642951945640112,0.00908549346467825,0.0552097010993329
"mse","ou",78,0.0662633686841946,0.0235443752049408,0.0427189934792538
"mse","ou",79,0.064128784477623,0.0159649579207958,0.0481638265568272
"mse","ou",80,0.0819806155678415,0.0242181490159386,0.057762466551903
"mse","ou",81,0.0646414043918408,0.0302869253117362,0.0343544790801046
"mse","ou",82,0.0735748790772104,0.0108459574080447,0.0627289216691657
"mse","ou",83,0.0764114278276968,0.0188380497422275,0.0575733780854693
"mse","ou",84,0.0730712843091994,0.0161611645387306,0.0569101197704688
"mse","ou",85,0.0677672233304377,0.02423989112015,0.0435273322102877
"mse","ou",86,0.0672722745764804,0.0205681944650295,0.0467040801114509
"mse","ou",87,0.0762125540512883,0.00919895766833223,0.0670135963829561
"mse","ou",88,0.0676635904013971,0.0171468360346314,0.0505167543667657
"mse","ou",89,0.0680751656147257,0.0225199068977447,0.045555258716981
"mse","ou",90,0.0753373492305473,0.0214848823538783,0.053852466876669
"mse","ou",91,0.0704034136381235,0.0167145826840962,0.0536888309540273
"mse","ou",92,0.0714106944579327,0.0165608690664563,0.0548498253914764
"mse","ou",93,0.0691703872499147,0.0108182995550667,0.058352087694848
"mse","ou",94,0.0716758584245485,0.0120580069049071,0.0596178515196414
"mse","ou",95,0.0665121256229279,0.0234533174731948,0.0430588081497331
"mse","ou",96,0.0699807559969505,0.0203381597654973,0.0496425962314532
