"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","converged","hit_max","n_iter","n_cpo_fail","status","error","file"
"ou","rate_state",44,1044,1000132,1971,0.266150983174642,TRUE,FALSE,4,1,"existing",NA,"rep_0044_fit_rate_state.rds"
"ou","ou",45,1045,1000133,1943,1.33733559846878,TRUE,FALSE,25,0,"existing",NA,"rep_0045_fit_ou.rds"
"ou","mse",45,1045,1000134,1943,0.465953115622203,TRUE,FALSE,7,0,"existing",NA,"rep_0045_fit_mse.rds"
"ou","rate_state",45,1045,1000135,1943,5.17964566548665,FALSE,TRUE,100,1,"existing",NA,"rep_0045_fit_rate_state.rds"
"ou","ou",46,1046,1000136,2290,1.54939793348312,TRUE,FALSE,25,0,"existing",NA,"rep_0046_fit_ou.rds"
"ou","mse",46,1046,1000137,2290,1.76623836358388,TRUE,FALSE,25,0,"existing",NA,"rep_0046_fit_mse.rds"
"ou","rate_state",46,1046,1000138,2290,3.32050363222758,TRUE,FALSE,53,0,"existing",NA,"rep_0046_fit_rate_state.rds"
"ou","ou",47,1047,1000139,1287,0.911567016442617,TRUE,FALSE,23,0,"existing",NA,"rep_0047_fit_ou.rds"
"ou","mse",47,1047,1000140,1287,0.280889948209127,TRUE,FALSE,6,0,"existing",NA,"rep_0047_fit_mse.rds"
"ou","rate_state",47,1047,1000141,1287,0.35150158405304,TRUE,FALSE,8,1,"existing",NA,"rep_0047_fit_rate_state.rds"
"ou","ou",48,1048,1000142,1994,1.34294796784719,TRUE,FALSE,24,0,"existing",NA,"rep_0048_fit_ou.rds"
"ou","mse",48,1048,1000143,1994,0.425621382395426,TRUE,FALSE,6,0,"existing",NA,"rep_0048_fit_mse.rds"
"ou","rate_state",48,1048,1000144,1994,2.78898281653722,TRUE,FALSE,52,0,"existing",NA,"rep_0048_fit_rate_state.rds"
"ou","ou",49,1049,1000145,4325,4.74606071710587,TRUE,FALSE,36,0,"existing",NA,"rep_0049_fit_ou.rds"
"ou","mse",49,1049,1000146,4325,5.48446688254674,TRUE,FALSE,37,0,"existing",NA,"rep_0049_fit_mse.rds"
"ou","rate_state",49,1049,1000147,4325,5.44828377962112,TRUE,FALSE,38,0,"existing",NA,"rep_0049_fit_rate_state.rds"
"ou","ou",50,1050,1000148,3769,3.90234869718552,TRUE,FALSE,36,0,"existing",NA,"rep_0050_fit_ou.rds"
"ou","mse",50,1050,1000149,3769,4.93170598347982,TRUE,FALSE,39,0,"existing",NA,"rep_0050_fit_mse.rds"
"ou","rate_state",50,1050,1000150,3769,4.6018856326739,TRUE,FALSE,43,0,"existing",NA,"rep_0050_fit_rate_state.rds"
"ou","ou",51,1051,1000151,2898,2.5430588165919,TRUE,FALSE,32,0,"existing",NA,"rep_0051_fit_ou.rds"
"ou","mse",51,1051,1000152,2898,17.7339591145515,FALSE,TRUE,100,2,"existing",NA,"rep_0051_fit_mse.rds"
"ou","rate_state",51,1051,1000153,2898,0.779562131563822,TRUE,FALSE,8,1,"existing",NA,"rep_0051_fit_rate_state.rds"
"ou","ou",52,1052,1000154,3036,2.77254558404287,TRUE,FALSE,33,0,"existing",NA,"rep_0052_fit_ou.rds"
"ou","mse",52,1052,1000155,3036,3.24866166512171,TRUE,FALSE,33,0,"existing",NA,"rep_0052_fit_mse.rds"
"ou","rate_state",52,1052,1000156,3036,3.17673286596934,TRUE,FALSE,37,0,"existing",NA,"rep_0052_fit_rate_state.rds"
"ou","ou",53,1053,1000157,2764,2.67965354919434,TRUE,FALSE,34,0,"existing",NA,"rep_0053_fit_ou.rds"
"ou","mse",53,1053,1000158,2764,2.61746582984924,TRUE,FALSE,31,0,"existing",NA,"rep_0053_fit_mse.rds"
"ou","rate_state",53,1053,1000159,2764,0.468553368250529,TRUE,FALSE,5,1,"existing",NA,"rep_0053_fit_rate_state.rds"
"ou","ou",54,1054,1000160,1890,1.31345396439234,TRUE,FALSE,24,0,"existing",NA,"rep_0054_fit_ou.rds"
"ou","mse",54,1054,1000161,1890,1.46858006715775,TRUE,FALSE,25,0,"existing",NA,"rep_0054_fit_mse.rds"
"ou","rate_state",54,1054,1000162,1890,3.48961786826452,TRUE,FALSE,67,1,"existing",NA,"rep_0054_fit_rate_state.rds"
"ou","ou",55,1055,1000163,2481,2.00290158192317,TRUE,FALSE,28,0,"existing",NA,"rep_0055_fit_ou.rds"
"ou","mse",55,1055,1000164,2481,0.47239488363266,TRUE,FALSE,5,0,"existing",NA,"rep_0055_fit_mse.rds"
"ou","rate_state",55,1055,1000165,2481,2.50101916790009,TRUE,FALSE,36,0,"existing",NA,"rep_0055_fit_rate_state.rds"
"ou","ou",56,1056,1000166,5205,6.6212780157725,TRUE,FALSE,38,0,"existing",NA,"rep_0056_fit_ou.rds"
"ou","mse",56,1056,1000167,5205,7.67384821573893,TRUE,FALSE,38,0,"existing",NA,"rep_0056_fit_mse.rds"
"ou","rate_state",56,1056,1000168,5205,2.93665879964828,TRUE,FALSE,15,1,"existing",NA,"rep_0056_fit_rate_state.rds"
"ou","ou",57,1057,1000169,1749,1.26593509912491,TRUE,FALSE,27,0,"existing",NA,"rep_0057_fit_ou.rds"
"ou","mse",57,1057,1000170,1749,0.371663065751394,TRUE,FALSE,6,0,"existing",NA,"rep_0057_fit_mse.rds"
"ou","rate_state",57,1057,1000171,1749,1.94964978297551,TRUE,FALSE,40,0,"existing",NA,"rep_0057_fit_rate_state.rds"
"ou","ou",58,1058,1000172,3120,2.56922663450241,TRUE,FALSE,28,0,"existing",NA,"rep_0058_fit_ou.rds"
"ou","mse",58,1058,1000173,3120,2.95243431727091,TRUE,FALSE,30,0,"existing",NA,"rep_0058_fit_mse.rds"
"ou","rate_state",58,1058,1000174,3120,8.84551538228989,FALSE,TRUE,100,1,"existing",NA,"rep_0058_fit_rate_state.rds"
"ou","ou",59,1059,1000175,2147,1.59145379861196,TRUE,FALSE,26,0,"existing",NA,"rep_0059_fit_ou.rds"
"ou","mse",59,1059,1000176,2147,2.32102771600087,TRUE,FALSE,34,0,"existing",NA,"rep_0059_fit_mse.rds"
"ou","rate_state",59,1059,1000177,2147,1.59441976547241,TRUE,FALSE,27,0,"existing",NA,"rep_0059_fit_rate_state.rds"
"ou","ou",60,1060,1000178,3681,3.28836164871852,TRUE,FALSE,32,0,"existing",NA,"rep_0060_fit_ou.rds"
"ou","mse",60,1060,1000179,3681,6.51129286686579,TRUE,FALSE,51,0,"existing",NA,"rep_0060_fit_mse.rds"
"ou","rate_state",60,1060,1000180,3681,10.5932889819145,TRUE,FALSE,70,1,"existing",NA,"rep_0060_fit_rate_state.rds"
"ou","ou",61,1061,1000181,5282,7.83128743569056,TRUE,FALSE,44,0,"existing",NA,"rep_0061_fit_ou.rds"
"ou","mse",61,1061,1000182,5282,8.5250616033872,TRUE,FALSE,41,0,"existing",NA,"rep_0061_fit_mse.rds"
"ou","rate_state",61,1061,1000183,5282,12.5771391987801,TRUE,FALSE,66,0,"existing",NA,"rep_0061_fit_rate_state.rds"
"ou","ou",62,1062,1000184,2255,1.56600066423416,TRUE,FALSE,26,0,"existing",NA,"rep_0062_fit_ou.rds"
"ou","mse",62,1062,1000185,2255,1.86272181669871,TRUE,FALSE,28,0,"existing",NA,"rep_0062_fit_mse.rds"
"ou","rate_state",62,1062,1000186,2255,2.08133169809977,TRUE,FALSE,34,0,"existing",NA,"rep_0062_fit_rate_state.rds"
"ou","ou",63,1063,1000187,2208,1.71483678420385,TRUE,FALSE,27,0,"existing",NA,"rep_0063_fit_ou.rds"
"ou","mse",63,1063,1000188,2208,1.99958816766739,TRUE,FALSE,29,0,"existing",NA,"rep_0063_fit_mse.rds"
"ou","rate_state",63,1063,1000189,2208,0.669687767823537,TRUE,FALSE,9,1,"existing",NA,"rep_0063_fit_rate_state.rds"
"ou","ou",64,1064,1000190,3329,3.35331411759059,TRUE,FALSE,35,0,"existing",NA,"rep_0064_fit_ou.rds"
"ou","mse",64,1064,1000191,3329,4.84003599882126,TRUE,FALSE,42,0,"existing",NA,"rep_0064_fit_mse.rds"
"ou","rate_state",64,1064,1000192,3329,8.46619808673859,TRUE,FALSE,81,0,"existing",NA,"rep_0064_fit_rate_state.rds"
"ou","ou",65,1065,1000193,1663,0.960109484195709,TRUE,FALSE,20,0,"existing",NA,"rep_0065_fit_ou.rds"
"ou","mse",65,1065,1000194,1663,0.35396188100179,TRUE,FALSE,6,0,"existing",NA,"rep_0065_fit_mse.rds"
"ou","rate_state",65,1065,1000195,1663,0.445272966225942,TRUE,FALSE,8,1,"existing",NA,"rep_0065_fit_rate_state.rds"
"ou","ou",66,1066,1000196,2208,1.90832645098368,TRUE,FALSE,30,0,"existing",NA,"rep_0066_fit_ou.rds"
"ou","mse",66,1066,1000197,2208,1.67662123441696,TRUE,FALSE,25,0,"existing",NA,"rep_0066_fit_mse.rds"
"ou","rate_state",66,1066,1000198,2208,0.530192748705546,TRUE,FALSE,7,1,"existing",NA,"rep_0066_fit_rate_state.rds"
"ou","ou",67,1067,1000199,2818,2.52167325019836,TRUE,FALSE,31,0,"existing",NA,"rep_0067_fit_ou.rds"
"ou","mse",67,1067,1000200,2818,2.47649183273315,TRUE,FALSE,28,0,"existing",NA,"rep_0067_fit_mse.rds"
"ou","rate_state",67,1067,1000201,2818,0.661036785443624,TRUE,FALSE,7,1,"existing",NA,"rep_0067_fit_rate_state.rds"
"ou","ou",68,1068,1000202,1472,0.791991583506266,TRUE,FALSE,19,0,"existing",NA,"rep_0068_fit_ou.rds"
"ou","mse",68,1068,1000203,1472,0.593856930732727,TRUE,FALSE,10,0,"existing",NA,"rep_0068_fit_mse.rds"
"ou","rate_state",68,1068,1000204,1472,5.39011618296305,FALSE,TRUE,100,1,"existing",NA,"rep_0068_fit_rate_state.rds"
"ou","ou",69,1069,1000205,1074,0.747380348046621,TRUE,FALSE,21,0,"existing",NA,"rep_0069_fit_ou.rds"
